Date,Open,High,Low,Close,Adj Close,Volume
2019-08-22,7.520000,7.680000,7.380000,7.610000,7.610000,2617800
2019-08-23,7.790000,7.960000,7.660000,7.720000,7.720000,2854400
2019-08-26,7.760000,7.960000,7.750000,7.850000,7.850000,2049900
2019-08-27,8.410000,8.520000,8.350000,8.430000,8.430000,2355000
2019-08-28,8.130000,8.290000,8.070000,8.240000,8.240000,1372400
2019-08-29,8.100000,8.120000,8.010000,8.060000,8.060000,1665200
2019-08-30,8.200000,8.260000,8.170000,8.220000,8.220000,1327000
2019-09-03,7.890000,7.900000,7.770000,7.840000,7.840000,1603500
2019-09-04,7.720000,7.760000,7.600000,7.710000,7.710000,2239800
2019-09-05,8.220000,8.440000,8.220000,8.380000,8.380000,2368100
2019-09-06,8.570000,8.580000,8.440000,8.520000,8.520000,1115200
2019-09-09,8.550000,8.830000,8.550000,8.790000,8.790000,2353200
2019-09-10,8.750000,8.990000,8.700000,8.930000,8.930000,3276500
2019-09-11,9.380000,9.520000,9.300000,9.490000,9.490000,3379300
2019-09-12,9.190000,9.210000,8.970000,9.080000,9.080000,2320600
2019-09-13,9.180000,9.250000,9.120000,9.160000,9.160000,1273600
2019-09-16,9.020000,9.100000,8.960000,8.960000,8.960000,1152100
2019-09-17,8.580000,8.710000,8.540000,8.680000,8.680000,2283200
2019-09-18,8.710000,8.730000,8.600000,8.650000,8.650000,1172200
2019-09-19,8.800000,8.860000,8.750000,8.790000,8.790000,1067200
2019-09-20,9.400000,9.730000,9.340000,9.540000,9.540000,4204000
2019-09-23,9.240000,9.320000,9.150000,9.210000,9.210000,3024600
2019-09-24,9.340000,9.350000,8.960000,9.020000,9.020000,2366600
2019-09-25,8.750000,8.800000,8.570000,8.780000,8.780000,2126900
2019-09-26,8.890000,8.890000,8.580000,8.650000,8.650000,1983600
2019-09-27,8.650000,8.680000,8.440000,8.460000,8.460000,1800800
2019-09-30,8.380000,8.470000,8.280000,8.390000,8.390000,1154900
2019-10-01,8.220000,8.250000,7.960000,8.130000,8.130000,1964300
2019-10-02,8.000000,8.200000,7.920000,8.080000,8.080000,2100900
2019-10-03,8.600000,8.710000,8.440000,8.610000,8.610000,2110900
2019-10-04,8.440000,8.480000,8.340000,8.480000,8.480000,902600
2019-10-07,8.360000,8.390000,8.210000,8.290000,8.290000,1365400
2019-10-08,8.260000,8.260000,8.100000,8.120000,8.120000,1232200
2019-10-09,8.520000,8.570000,8.380000,8.400000,8.400000,1886300
2019-10-10,8.280000,8.360000,8.190000,8.350000,8.350000,1638500
2019-10-11,8.570000,8.820000,8.560000,8.740000,8.740000,2323500
2019-10-14,8.940000,8.960000,8.810000,8.900000,8.900000,1246400
2019-10-15,8.850000,9.060000,8.790000,9.040000,9.040000,1310400
2019-10-16,8.940000,9.020000,8.900000,8.940000,8.940000,1346600
2019-10-17,9.650000,9.900000,9.570000,9.630000,9.630000,3510800
2019-10-18,9.490000,9.670000,9.390000,9.610000,9.610000,1657000
2019-10-21,9.600000,9.630000,9.460000,9.510000,9.510000,1055700
2019-10-22,9.340000,9.430000,9.240000,9.270000,9.270000,1768300
2019-10-23,9.320000,9.440000,9.300000,9.330000,9.330000,1302600
2019-10-24,9.400000,9.420000,9.250000,9.270000,9.270000,4465200
2019-10-25,9.690000,10.640000,9.650000,10.490000,10.490000,4835100
2019-10-28,10.580000,10.770000,10.510000,10.610000,10.610000,2257000
2019-10-29,12.030000,12.390000,11.960000,12.210000,12.210000,4735500
2019-10-30,11.970000,12.130000,11.830000,11.950000,11.950000,2812000
2019-10-31,12.350000,12.370000,11.950000,12.080000,12.080000,3532000
2019-11-01,12.100000,12.460000,12.060000,12.380000,12.380000,2846400
2019-11-04,12.180000,12.400000,12.180000,12.340000,12.340000,2025200
2019-11-05,12.180000,12.270000,12.060000,12.170000,12.170000,1430400
2019-11-06,12.200000,12.300000,12.150000,12.180000,12.180000,1321100
2019-11-07,12.110000,12.190000,12.010000,12.120000,12.120000,1084200
2019-11-08,11.980000,12.010000,11.850000,11.860000,11.860000,1176500
2019-11-11,11.900000,12.070000,11.850000,12.060000,12.060000,942900
2019-11-12,12.020000,12.110000,11.950000,12.020000,12.020000,816000
2019-11-13,11.770000,11.870000,11.660000,11.720000,11.720000,975700
2019-11-14,11.610000,11.640000,11.480000,11.530000,11.530000,1137700
2019-11-15,11.710000,12.020000,11.710000,11.860000,11.860000,1063400
2019-11-18,11.820000,11.870000,11.740000,11.830000,11.830000,686100
2019-11-19,11.740000,11.790000,11.590000,11.610000,11.610000,886900
2019-11-20,11.540000,11.680000,11.440000,11.520000,11.520000,903800
2019-11-21,11.450000,11.460000,11.150000,11.380000,11.380000,1537500
2019-11-22,11.270000,11.290000,11.110000,11.170000,11.170000,950500
2019-11-25,11.420000,11.610000,11.390000,11.540000,11.540000,1651400
2019-11-26,11.400000,11.430000,11.270000,11.290000,11.290000,1296300
2019-11-27,11.530000,11.640000,11.490000,11.570000,11.570000,1265200
2019-11-29,11.180000,11.240000,11.120000,11.220000,11.220000,741800
2019-12-02,11.280000,11.300000,11.170000,11.220000,11.220000,725000
2019-12-03,11.010000,11.010000,10.700000,10.940000,10.940000,1171600
2019-12-04,11.710000,11.990000,11.700000,11.850000,11.850000,2627300
2019-12-05,11.600000,11.690000,11.520000,11.580000,11.580000,839700
2019-12-06,11.320000,11.420000,11.280000,11.370000,11.370000,969000
2019-12-09,11.310000,11.380000,11.280000,11.290000,11.290000,635700
2019-12-10,11.250000,11.270000,11.180000,11.200000,11.200000,659900
2019-12-11,11.210000,11.420000,11.210000,11.350000,11.350000,871700
2019-12-12,12.000000,12.400000,11.960000,12.340000,12.340000,2765900
2019-12-13,12.420000,12.530000,12.340000,12.360000,12.360000,1214600
2019-12-16,12.270000,12.440000,12.200000,12.390000,12.390000,1266800
2019-12-17,12.560000,12.780000,12.560000,12.770000,12.770000,1768500
2019-12-18,12.560000,12.560000,12.400000,12.470000,12.470000,1750700
2019-12-19,12.590000,12.680000,12.550000,12.600000,12.600000,946600
2019-12-20,12.400000,12.500000,12.340000,12.490000,12.490000,1700000
2019-12-23,12.440000,12.580000,12.440000,12.490000,12.490000,984000
2019-12-24,12.330000,12.400000,12.260000,12.320000,12.320000,414900
2019-12-26,12.340000,12.420000,12.260000,12.360000,12.360000,654700
2019-12-27,12.450000,12.470000,12.310000,12.320000,12.320000,584300
2019-12-30,12.820000,12.990000,12.760000,12.770000,12.770000,1400000
2019-12-31,12.770000,12.770000,12.770000,12.770000,12.770000,0
2020-01-02,13.480000,13.570000,13.450000,13.520000,13.520000,1649500
2020-01-03,13.450000,13.470000,13.130000,13.180000,13.180000,1058800
2020-01-06,12.940000,13.030000,12.850000,13.030000,13.030000,1203400
2020-01-07,12.860000,12.890000,12.750000,12.820000,12.820000,1008300
2020-01-08,12.790000,12.900000,12.660000,12.860000,12.860000,1052500
2020-01-09,13.490000,13.490000,13.250000,13.330000,13.330000,1327900
2020-01-10,13.600000,13.770000,13.570000,13.610000,13.610000,1986000
2020-01-13,13.660000,13.760000,13.610000,13.720000,13.720000,1690100
2020-01-14,13.730000,13.760000,13.630000,13.750000,13.750000,1240600
2020-01-15,13.950000,14.030000,13.890000,13.950000,13.950000,1759100
2020-01-16,13.930000,13.930000,13.730000,13.820000,13.820000,1266600
2020-01-17,13.790000,13.880000,13.750000,13.850000,13.850000,1069200
2020-01-21,13.350000,13.390000,13.230000,13.300000,13.300000,1715100
2020-01-22,13.050000,13.070000,12.940000,12.990000,12.990000,1374000
2020-01-23,13.100000,13.140000,12.930000,13.120000,13.120000,1433000
2020-01-24,13.090000,13.090000,12.850000,12.940000,12.940000,1091500
2020-01-27,12.650000,12.790000,12.560000,12.690000,12.690000,1010800
2020-01-28,12.430000,12.590000,12.380000,12.540000,12.540000,1251100
2020-01-29,13.100000,13.200000,13.080000,13.110000,13.110000,1472800
2020-01-30,12.800000,13.160000,12.700000,13.090000,13.090000,1145300
2020-01-31,12.440000,12.480000,12.050000,12.130000,12.130000,2083000
2020-02-03,11.540000,11.690000,11.400000,11.680000,11.680000,2503100
2020-02-04,11.780000,11.880000,11.690000,11.730000,11.730000,1757500
2020-02-05,12.820000,12.900000,12.600000,12.640000,12.640000,2380700
2020-02-06,12.730000,12.730000,12.320000,12.360000,12.360000,2399900
